epoch,train_mse,val_mse
0,0.2263711100788019,0.11830362807141344
1,0.12103206573805428,0.10909465673090972
2,0.10798514986889522,0.10724716079392128
3,0.0953319167461443,0.102424459443562
4,0.0871756544190076,0.10965711934354105
5,0.08290686206480145,0.10988464945532297
6,0.07156619313821061,0.11683643626673158
7,0.06439562514741376,0.11618848484911613
8,0.05817500840216156,0.11358321702278393
9,0.05270033405039554,0.11539168244547945
